global_planner,local_planner,task_manager,packages_delivered,pph,total_collision_events,agent_agent_collision_events,replan_events,real_runtime_seconds,record_tag
MARRTStar,DullPlanner,NaiveTaskManager,4,240.0,0,0,0,36.297,planner_matrix_baseline_60s_MARRTStar_DullPlanner_NaiveTaskManager
MARRTStar,RVOPlanner,NaiveTaskManager,4,240.0,0,0,0,31.697,planner_matrix_baseline_60s_MARRTStar_RVOPlanner_NaiveTaskManager
MARRTStar,VirtualForcePlanner,NaiveTaskManager,4,240.0,0,0,0,31.541,planner_matrix_baseline_60s_MARRTStar_VirtualForcePlanner_NaiveTaskManager
RRTStar,VirtualForcePlanner,NaiveTaskManager,4,240.0,0,0,0,22.701,planner_matrix_baseline_60s_RRTStar_VirtualForcePlanner_NaiveTaskManager
LayeredAStar,DullPlanner,NaiveTaskManager,4,240.0,8,8,100,8.275,planner_matrix_baseline_60s_LayeredAStar_DullPlanner_NaiveTaskManager
RRTStar,DullPlanner,NaiveTaskManager,4,240.0,17,17,0,18.087,planner_matrix_baseline_60s_RRTStar_DullPlanner_NaiveTaskManager
RRTStar,RVOPlanner,NaiveTaskManager,4,240.0,19,19,0,21.817,planner_matrix_baseline_60s_RRTStar_RVOPlanner_NaiveTaskManager
MARRTStar,FLCPlanner,NaiveTaskManager,3,180.0,0,0,0,33.311,planner_matrix_baseline_60s_MARRTStar_FLCPlanner_NaiveTaskManager
RRTStar,FLCPlanner,NaiveTaskManager,3,180.0,0,0,0,19.56,planner_matrix_baseline_60s_RRTStar_FLCPlanner_NaiveTaskManager
LayeredAStar,DDPlanner,NaiveTaskManager,1,60.0,15,15,39,21.929,planner_matrix_baseline_60s_LayeredAStar_DDPlanner_NaiveTaskManager
RRTStar,DDPlanner,NaiveTaskManager,1,60.0,15,15,0,18.844,planner_matrix_baseline_60s_RRTStar_DDPlanner_NaiveTaskManager
INashRRT,DDPlanner,NaiveTaskManager,1,60.0,17,17,0,28.693,planner_matrix_baseline_60s_INashRRT_DDPlanner_NaiveTaskManager
MARRTStar,DDPlanner,NaiveTaskManager,1,60.0,18,18,0,23.934,planner_matrix_baseline_60s_MARRTStar_DDPlanner_NaiveTaskManager
LayeredAStar,FLCPlanner,NaiveTaskManager,0,0.0,0,0,21,25.499,planner_matrix_baseline_60s_LayeredAStar_FLCPlanner_NaiveTaskManager
LayeredAStar,RVOPlanner,NaiveTaskManager,0,0.0,0,0,0,17.857,planner_matrix_baseline_60s_LayeredAStar_RVOPlanner_NaiveTaskManager
LayeredAStar,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,16,15.648,planner_matrix_baseline_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager
MARRTStar,HRVOPlanner,NaiveTaskManager,0,0.0,30,0,0,19.978,planner_matrix_baseline_60s_MARRTStar_HRVOPlanner_NaiveTaskManager
LayeredAStar,HRVOPlanner,NaiveTaskManager,0,0.0,72,7,0,16.084,planner_matrix_baseline_60s_LayeredAStar_HRVOPlanner_NaiveTaskManager
INashRRT,HRVOPlanner,NaiveTaskManager,0,0.0,112,0,0,14.591,planner_matrix_baseline_60s_INashRRT_HRVOPlanner_NaiveTaskManager
RRTStar,HRVOPlanner,NaiveTaskManager,0,0.0,146,0,0,16.673,planner_matrix_baseline_60s_RRTStar_HRVOPlanner_NaiveTaskManager
