scenario,stage,global_planner,local_planner,task_manager,packages_delivered,pph,total_collision_events,agent_agent_collision_events,replan_events,real_runtime_seconds,status,record_tag
small,Baseline,LayeredAStar,DullPlanner,NaiveTaskManager,4,240.0,8,8,100,8.523,available,stage_chain_small_60s_LayeredAStar_DullPlanner_NaiveTaskManager
small,CollisionAware,LayeredAStarCollisionAware,DullPlanner,NaiveTaskManager,5,300.0,0,0,203,18.814,available,stage_chain_small_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager
small,ReservationAware,LayeredAStarReservationAware,DullPlanner,NaiveTaskManager,0,0.0,0,0,1124,38.762,available,stage_chain_small_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager
small,QueueAware,LayeredAStarQueueAware,DullPlanner,NaiveTaskManager,1,60.0,1,1,965,30.711,available,stage_chain_small_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager
small,BaselineTrafficAware,LayeredAStarBaselineTrafficAware,DullPlanner,NaiveTaskManager,1,60.0,0,0,63,9.685,available,stage_chain_bta_small_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager
medium,Baseline,LayeredAStar,DullPlanner,NaiveTaskManager,6,360.0,235,235,616,52.631,available,stage_chain_medium_60s_LayeredAStar_DullPlanner_NaiveTaskManager
medium,CollisionAware,LayeredAStarCollisionAware,DullPlanner,NaiveTaskManager,6,360.0,0,0,404,84.495,available,stage_chain_medium_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager
medium,ReservationAware,LayeredAStarReservationAware,DullPlanner,NaiveTaskManager,7,420.0,6,6,242,81.186,available,stage_chain_medium_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager
medium,QueueAware,LayeredAStarQueueAware,DullPlanner,NaiveTaskManager,5,300.0,0,0,721,67.102,available,stage_chain_medium_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager
medium,BaselineTrafficAware,LayeredAStarBaselineTrafficAware,DullPlanner,NaiveTaskManager,6,360.0,0,0,261,33.512,available,stage_chain_bta_medium_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager
high,Baseline,LayeredAStar,DullPlanner,NaiveTaskManager,5,300.0,949,949,2082,105.051,available,stage_chain_high_60s_LayeredAStar_DullPlanner_NaiveTaskManager
high,CollisionAware,LayeredAStarCollisionAware,DullPlanner,NaiveTaskManager,7,420.0,27,27,470,120.35,available,stage_chain_high_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager
high,ReservationAware,LayeredAStarReservationAware,DullPlanner,NaiveTaskManager,3,180.0,1068,1068,3932,158.4,available,stage_chain_high_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager
high,QueueAware,LayeredAStarQueueAware,DullPlanner,NaiveTaskManager,7,420.0,18,18,523,72.804,available,stage_chain_high_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager
high,BaselineTrafficAware,LayeredAStarBaselineTrafficAware,DullPlanner,NaiveTaskManager,6,360.0,0,0,279,57.448,available,stage_chain_bta_high_60s_LayeredAStarBaselineTrafficAware_DullPlanner_NaiveTaskManager
