global_planner,local_planner,task_manager,status,exit_code,runtime_seconds,packages_delivered,pph,total_distance_travelled,global_plan_calls,replan_events,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,summary_file,stdout_tail
LayeredAStar,DullPlanner,NaiveTaskManager,success,0,13.012,4,240.0,147.689,123,100,8,8,0,planner_matrix_baseline_60s_LayeredAStar_DullPlanner_NaiveTaskManager.json,"Hello from the pygame community. https://www.pygame.org/contribute.html
---------------------------------------------------------------------
The duration will be 60.0 seconds or 1.0 minutes in simulation world
---------------------------------------------------------------------
1.0 minutes passed in simulation world
8 seconds passed in real world
PPH is 240.0 now
---------------------------------------------------------------------
Current PPH: 240.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 4)
('PPH:', 240.0)"
LayeredAStar,VirtualForcePlanner,NaiveTaskManager,success,0,20.516,0,0.0,9.625,571,16,0,0,0,planner_matrix_baseline_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager.json,"pygame 2.6.1 (SDL 2.28.4, Python 3.10.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
---------------------------------------------------------------------
The duration will be 60.0 seconds or 1.0 minutes in simulation world
---------------------------------------------------------------------
1.0 minutes passed in simulation world
15 seconds passed in real world
PPH is 0.0 now
---------------------------------------------------------------------
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 0)
('PPH:', 0.0)"
LayeredAStar,RVOPlanner,NaiveTaskManager,success,0,27.904,0,0.0,8.578,4,0,0,0,0,planner_matrix_baseline_60s_LayeredAStar_RVOPlanner_NaiveTaskManager.json,"pygame 2.6.1 (SDL 2.28.4, Python 3.10.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
---------------------------------------------------------------------
The duration will be 60.0 seconds or 1.0 minutes in simulation world
---------------------------------------------------------------------
1.0 minutes passed in simulation world
17 seconds passed in real world
PPH is 0.0 now
---------------------------------------------------------------------
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 0)
('PPH:', 0.0)"
LayeredAStar,HRVOPlanner,NaiveTaskManager,success,0,26.055,0,0.0,79.145,4,0,72,7,65,planner_matrix_baseline_60s_LayeredAStar_HRVOPlanner_NaiveTaskManager.json,"pygame 2.6.1 (SDL 2.28.4, Python 3.10.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
---------------------------------------------------------------------
The duration will be 60.0 seconds or 1.0 minutes in simulation world
---------------------------------------------------------------------
1.0 minutes passed in simulation world
16 seconds passed in real world
PPH is 0.0 now
---------------------------------------------------------------------
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 0)
('PPH:', 0.0)"
LayeredAStar,DDPlanner,NaiveTaskManager,success,0,32.461,1,60.0,41.537,47,39,15,15,0,planner_matrix_baseline_60s_LayeredAStar_DDPlanner_NaiveTaskManager.json,"Hello from the pygame community. https://www.pygame.org/contribute.html
---------------------------------------------------------------------
The duration will be 60.0 seconds or 1.0 minutes in simulation world
---------------------------------------------------------------------
1.0 minutes passed in simulation world
21 seconds passed in real world
PPH is 60.0 now
---------------------------------------------------------------------
Current PPH: 60.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 1)
('PPH:', 60.0)"
LayeredAStar,FLCPlanner,NaiveTaskManager,success,0,36.185,0,0.0,8.067,567,21,0,0,0,planner_matrix_baseline_60s_LayeredAStar_FLCPlanner_NaiveTaskManager.json,"pygame 2.6.1 (SDL 2.28.4, Python 3.10.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
---------------------------------------------------------------------
The duration will be 60.0 seconds or 1.0 minutes in simulation world
---------------------------------------------------------------------
1.0 minutes passed in simulation world
25 seconds passed in real world
PPH is 0.0 now
---------------------------------------------------------------------
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 0)
('PPH:', 0.0)"
RRTStar,DullPlanner,NaiveTaskManager,success,0,28.894,4,240.0,142.365,30,0,17,17,0,planner_matrix_baseline_60s_RRTStar_DullPlanner_NaiveTaskManager.json,"agent 1 search path via RRT* ... 
RRT* DONE in 0.009702682495117188 sec
agent 0 search path via RRT* ... 
RRT* DONE in 0.0025064945220947266 sec
1.0 minutes passed in simulation world
18 seconds passed in real world
PPH is 240.0 now
---------------------------------------------------------------------
Current PPH: 240.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 4)
('PPH:', 240.0)"
RRTStar,VirtualForcePlanner,NaiveTaskManager,success,0,33.105,4,240.0,139.969,29,0,0,0,0,planner_matrix_baseline_60s_RRTStar_VirtualForcePlanner_NaiveTaskManager.json,"agent 1 search path via RRT* ... 
RRT* DONE in 0.0030460357666015625 sec
agent 0 search path via RRT* ... 
RRT* DONE in 0.020685911178588867 sec
1.0 minutes passed in simulation world
22 seconds passed in real world
PPH is 240.0 now
---------------------------------------------------------------------
Current PPH: 240.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 4)
('PPH:', 240.0)"
RRTStar,RVOPlanner,NaiveTaskManager,success,0,35.099,4,240.0,134.301,64,0,19,19,0,planner_matrix_baseline_60s_RRTStar_RVOPlanner_NaiveTaskManager.json,"agent 0 search path via RRT* ... 
RRT* DONE in 0.001012563705444336 sec
agent 0 search path via RRT* ... 
RRT* DONE in 0.002872943878173828 sec
1.0 minutes passed in simulation world
21 seconds passed in real world
PPH is 240.0 now
---------------------------------------------------------------------
Current PPH: 240.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 4)
('PPH:', 240.0)"
RRTStar,HRVOPlanner,NaiveTaskManager,success,0,27.092,0,0.0,89.944,4,0,146,0,146,planner_matrix_baseline_60s_RRTStar_HRVOPlanner_NaiveTaskManager.json,"RRT* DONE in 0.012582063674926758 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.0015108585357666016 sec
agent 0 search path via RRT* ... 
RRT* DONE in 0.015456914901733398 sec
1.0 minutes passed in simulation world
16 seconds passed in real world
PPH is 0.0 now
---------------------------------------------------------------------
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 0)
('PPH:', 0.0)"
RRTStar,DDPlanner,NaiveTaskManager,success,0,27.161,1,60.0,41.537,8,0,15,15,0,planner_matrix_baseline_60s_RRTStar_DDPlanner_NaiveTaskManager.json,"agent 1 search path via RRT* ... 
RRT* DONE in 0.012590646743774414 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.0070683956146240234 sec
1.0 minutes passed in simulation world
18 seconds passed in real world
PPH is 60.0 now
---------------------------------------------------------------------
Current PPH: 60.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 1)
('PPH:', 60.0)"
RRTStar,FLCPlanner,NaiveTaskManager,success,0,27.615,3,180.0,111.063,20,0,0,0,0,planner_matrix_baseline_60s_RRTStar_FLCPlanner_NaiveTaskManager.json,"agent 0 search path via RRT* ... 
RRT* DONE in 0.022388935089111328 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.003670215606689453 sec
1.0 minutes passed in simulation world
19 seconds passed in real world
PPH is 180.0 now
---------------------------------------------------------------------
Current PPH: 180.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 3)
('PPH:', 180.0)"
MARRTStar,DullPlanner,NaiveTaskManager,success,0,44.032,4,240.0,153.545,21,0,0,0,0,planner_matrix_baseline_60s_MARRTStar_DullPlanner_NaiveTaskManager.json,"RRT* DONE in 0.010876178741455078 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.015603780746459961 sec
MARRT* DONE in 0.9774115085601807 sec
1.0 minutes passed in simulation world
36 seconds passed in real world
PPH is 240.0 now
---------------------------------------------------------------------
Current PPH: 240.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 4)
('PPH:', 240.0)"
MARRTStar,VirtualForcePlanner,NaiveTaskManager,success,0,42.292,4,240.0,148.11,21,0,0,0,0,planner_matrix_baseline_60s_MARRTStar_VirtualForcePlanner_NaiveTaskManager.json,"RRT* DONE in 0.013110160827636719 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.005510091781616211 sec
MARRT* DONE in 0.540585994720459 sec
1.0 minutes passed in simulation world
31 seconds passed in real world
PPH is 240.0 now
---------------------------------------------------------------------
Current PPH: 240.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 4)
('PPH:', 240.0)"
MARRTStar,RVOPlanner,NaiveTaskManager,success,0,39.503,4,240.0,149.411,22,0,0,0,0,planner_matrix_baseline_60s_MARRTStar_RVOPlanner_NaiveTaskManager.json,"RRT* DONE in 0.010508298873901367 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.00788116455078125 sec
MARRT* DONE in 0.6819279193878174 sec
1.0 minutes passed in simulation world
31 seconds passed in real world
PPH is 240.0 now
---------------------------------------------------------------------
Current PPH: 240.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 4)
('PPH:', 240.0)"
MARRTStar,HRVOPlanner,NaiveTaskManager,success,0,27.125,0,0.0,112.305,4,0,30,0,30,planner_matrix_baseline_60s_MARRTStar_HRVOPlanner_NaiveTaskManager.json,"agent 0 search path via RRT* ... 
RRT* DONE in 0.013605117797851562 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.0019989013671875 sec
MARRT* DONE in 0.36720800399780273 sec
1.0 minutes passed in simulation world
19 seconds passed in real world
PPH is 0.0 now
---------------------------------------------------------------------
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 0)
('PPH:', 0.0)"
MARRTStar,DDPlanner,NaiveTaskManager,success,0,30.888,1,60.0,46.298,8,0,18,18,0,planner_matrix_baseline_60s_MARRTStar_DDPlanner_NaiveTaskManager.json,"RRT* DONE in 0.0015213489532470703 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.0060002803802490234 sec
MARRT* DONE in 0.04472684860229492 sec
1.0 minutes passed in simulation world
23 seconds passed in real world
PPH is 60.0 now
---------------------------------------------------------------------
Current PPH: 60.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 1)
('PPH:', 60.0)"
MARRTStar,FLCPlanner,NaiveTaskManager,success,0,41.145,3,180.0,105.637,19,0,0,0,0,planner_matrix_baseline_60s_MARRTStar_FLCPlanner_NaiveTaskManager.json,"RRT* DONE in 0.0025360584259033203 sec
agent 1 search path via RRT* ... 
RRT* DONE in 0.012583255767822266 sec
MARRT* DONE in 0.35791707038879395 sec
1.0 minutes passed in simulation world
33 seconds passed in real world
PPH is 180.0 now
---------------------------------------------------------------------
Current PPH: 180.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 3)
('PPH:', 180.0)"
INashRRT,DullPlanner,NaiveTaskManager,failed,1,31.814,,,,,,,,,,"    temp_sequence_of_poses = self.global_planner.compute_path(
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\global_planners\multiagent_planner_local_entry.py"", line 13, in compute_path
    return self.agent.server.request_multiagent_global_planner_compute_path(self.agent)
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\server.py"", line 66, in request_multiagent_global_planner_compute_path
    solution_paths_dict = ma_planner.compute_path() or {}
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\multiagent_global_planners\inash_planner.py"", line 158, in compute_path
    agents_best_edge_path_dict[active_agent_id] = self.best_response(active_agent_id,
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\multiagent_global_planners\inash_planner.py"", line 227, in best_response
    current_path_cost, current_diverge_edge_path = frontier.get_pair()
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\global_planners\sample_global_planner.py"", line 29, in get_pair
    return heapq.heappop(self.elements)
TypeError: '<' not supported between instances of 'iNashStateEdge' and 'iNashStateEdge'"
INashRRT,VirtualForcePlanner,NaiveTaskManager,failed,1,20.097,,,,,,,,,,"    temp_sequence_of_poses = self.global_planner.compute_path(
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\global_planners\multiagent_planner_local_entry.py"", line 13, in compute_path
    return self.agent.server.request_multiagent_global_planner_compute_path(self.agent)
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\server.py"", line 66, in request_multiagent_global_planner_compute_path
    solution_paths_dict = ma_planner.compute_path() or {}
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\multiagent_global_planners\inash_planner.py"", line 158, in compute_path
    agents_best_edge_path_dict[active_agent_id] = self.best_response(active_agent_id,
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\multiagent_global_planners\inash_planner.py"", line 227, in best_response
    current_path_cost, current_diverge_edge_path = frontier.get_pair()
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\global_planners\sample_global_planner.py"", line 29, in get_pair
    return heapq.heappop(self.elements)
TypeError: '<' not supported between instances of 'iNashStateEdge' and 'iNashStateEdge'"
INashRRT,RVOPlanner,NaiveTaskManager,failed,1,20.192,,,,,,,,,,"    temp_sequence_of_poses = self.global_planner.compute_path(
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\global_planners\multiagent_planner_local_entry.py"", line 13, in compute_path
    return self.agent.server.request_multiagent_global_planner_compute_path(self.agent)
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\server.py"", line 66, in request_multiagent_global_planner_compute_path
    solution_paths_dict = ma_planner.compute_path() or {}
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\multiagent_global_planners\inash_planner.py"", line 158, in compute_path
    agents_best_edge_path_dict[active_agent_id] = self.best_response(active_agent_id,
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\multiagent_global_planners\inash_planner.py"", line 227, in best_response
    current_path_cost, current_diverge_edge_path = frontier.get_pair()
  File ""C:\Users\INT\Desktop\Summer IP\dorabot_minions-master\src\global_planners\sample_global_planner.py"", line 29, in get_pair
    return heapq.heappop(self.elements)
TypeError: '<' not supported between instances of 'iNashStateEdge' and 'iNashStateEdge'"
INashRRT,HRVOPlanner,NaiveTaskManager,success,0,21.026,0,0.0,104.502,4,0,112,0,112,planner_matrix_baseline_60s_INashRRT_HRVOPlanner_NaiveTaskManager.json,"The duration will be 60.0 seconds or 1.0 minutes in simulation world
---------------------------------------------------------------------
INashRRT DONE in 0.011112689971923828 sec
INashRRT DONE in 0.04308819770812988 sec
INashRRT DONE in 0.02387237548828125 sec
1.0 minutes passed in simulation world
14 seconds passed in real world
PPH is 0.0 now
---------------------------------------------------------------------
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 0)
('PPH:', 0.0)"
INashRRT,DDPlanner,NaiveTaskManager,success,0,36.539,1,60.0,47.623,8,0,17,17,0,planner_matrix_baseline_60s_INashRRT_DDPlanner_NaiveTaskManager.json,"INashRRT DONE in 10.635125160217285 sec
INashRRT DONE in 0.020309925079345703 sec
INashRRT DONE in 0.048345088958740234 sec
INashRRT DONE in 0.020711660385131836 sec
1.0 minutes passed in simulation world
28 seconds passed in real world
PPH is 60.0 now
---------------------------------------------------------------------
Current PPH: 60.0
('Time in seconds:', 60.0)
('Number of Packages Delivered:', 1)
('PPH:', 60.0)"
