run_id,record_tag,timestamp_utc,task_manager,global_planner,local_planner,packages_delivered,pph,simulation_seconds,real_runtime_seconds,agent_count,loading_port_count,unloading_port_count,map_width,map_height,resolution,steps_per_second,total_distance_travelled,avg_distance_travelled,max_distance_travelled,global_plan_calls,replan_events,total_contact_frames,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,state_time_ratios,contact_frame_counts,collision_event_counts,max_queue_lengths
20260804T141648Z_845711c4,planner_matrix_baseline_60s_LayeredAStar_DullPlanner_NaiveTaskManager,2026-08-04T14:16:56.294390Z,NaiveTaskManager,LayeredAStar,DullPlanner,4,240.0,60.0,8.275,2,1,1,12,12,1,10,147.689,73.844,74.211,123,100,8,8,8,0,"{""CRUISE"": 0.5458, ""LOADING"": 0.183, ""QUEUING"": 0.2712}","{""agent__agent"": 8}","{""agent__agent"": 8}","{""0"": 0}"
20260804T141649Z_e8c2399e,stage_chain_small_60s_LayeredAStar_DullPlanner_NaiveTaskManager,2026-08-04T14:16:57.697996Z,NaiveTaskManager,LayeredAStar,DullPlanner,4,240.0,60.0,8.523,2,1,1,12,12,1,10,147.689,73.844,74.211,123,100,8,8,8,0,"{""CRUISE"": 0.5458, ""LOADING"": 0.183, ""QUEUING"": 0.2712}","{""agent__agent"": 8}","{""agent__agent"": 8}","{""0"": 0}"
20260804T141700Z_7afcaa54,planner_matrix_baseline_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:17:16.635745Z,NaiveTaskManager,LayeredAStar,VirtualForcePlanner,0,0.0,60.0,15.648,2,1,1,12,12,1,10,9.625,4.813,7.733,571,16,0,0,0,0,"{""CRUISE"": 0.0266, ""QUEUING"": 0.9734}",{},{},"{""0"": 0}"
20260804T141702Z_67dd396e,stage_chain_small_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:17:18.151191Z,NaiveTaskManager,LayeredAStar,VirtualForcePlanner,0,0.0,60.0,15.459,2,1,1,12,12,1,10,9.625,4.813,7.733,571,16,0,0,0,0,"{""CRUISE"": 0.0266, ""QUEUING"": 0.9734}",{},{},"{""0"": 0}"
20260804T141650Z_ee8f1c1f,stage_chain_medium_60s_LayeredAStar_DullPlanner_NaiveTaskManager,2026-08-04T14:17:43.071758Z,NaiveTaskManager,LayeredAStar,DullPlanner,6,360.0,60.0,52.631,4,2,2,20,20,1,20,282.977,70.744,81.051,649,616,248,235,235,0,"{""CRUISE"": 0.7746, ""LOADING"": 0.1222, ""QUEUING"": 0.1032}","{""agent__agent"": 248}","{""agent__agent"": 235}","{""0"": 0, ""1"": 0}"
20260804T141726Z_16508236,planner_matrix_baseline_60s_LayeredAStar_RVOPlanner_NaiveTaskManager,2026-08-04T14:17:44.251415Z,NaiveTaskManager,LayeredAStar,RVOPlanner,0,0.0,60.0,17.857,2,1,1,12,12,1,10,8.578,4.289,7.232,4,0,0,0,0,0,"{""CRUISE"": 0.025, ""QUEUING"": 0.975}",{},{},"{""0"": 0}"
20260804T141727Z_13e33fd6,stage_chain_small_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager,2026-08-04T14:17:46.121477Z,NaiveTaskManager,LayeredAStarCollisionAware,DullPlanner,5,300.0,60.0,18.814,2,1,1,12,12,1,10,144.723,72.362,73.94,229,203,0,0,0,0,"{""CRUISE"": 0.5724, ""LOADING"": 0.2013, ""QUEUING"": 0.2263}",{},{},"{""0"": 0}"
20260804T141754Z_b68a52a9,planner_matrix_baseline_60s_LayeredAStar_HRVOPlanner_NaiveTaskManager,2026-08-04T14:18:10.492525Z,NaiveTaskManager,LayeredAStar,HRVOPlanner,0,0.0,60.0,16.084,2,1,1,12,12,1,10,79.145,39.572,61.831,4,0,72,72,7,65,"{""CRUISE"": 0.0707, ""QUEUING"": 0.9293}","{""agent__agent"": 7, ""agent__wall"": 65}","{""agent__agent"": 7, ""agent__wall"": 65}","{""0"": 0}"
20260804T141755Z_91d50c49,stage_chain_small_60s_LayeredAStarCollisionAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:18:23.209089Z,NaiveTaskManager,LayeredAStarCollisionAware,VirtualForcePlanner,0,0.0,60.0,27.966,2,1,1,12,12,1,10,6.967,3.483,5.85,1139,1135,0,0,0,0,"{""CRUISE"": 0.0258, ""QUEUING"": 0.9742}",{},{},"{""0"": 0}"
20260804T141651Z_1344ac1d,stage_chain_high_60s_LayeredAStar_DullPlanner_NaiveTaskManager,2026-08-04T14:18:36.667520Z,NaiveTaskManager,LayeredAStar,DullPlanner,5,300.0,60.0,105.051,6,3,3,24,24,1,20,360.995,60.166,81.056,2117,2082,951,949,949,0,"{""CRUISE"": 0.8411, ""LOADING"": 0.0813, ""QUEUING"": 0.0776}","{""agent__agent"": 951}","{""agent__agent"": 949}","{""0"": 0, ""1"": 0, ""2"": 0}"
